Repair_ID,Device_ID,Device_Type,Brand,Model,Serial_Number,Customer_Name,Engineer,Repair_Date,Failure_Category,Failure_Type,Root_Cause,Repair_Action,Parts_Used,Repair_Time_Hours,Repair_Cost,QC_Status,QC_Inspector,Rework,Final_Status,Warehouse,Supplier,Warranty,Customer_Satisfaction
RP000102,DV44116,Workstation,Hp,Aspire,SN-yJEd-10166,Michele Miller,Maria Rivera,2024-07-23,Network,WiFi Card,Thus try discover.,Software Installation,SSD Drive,1.79,105.54,Pass,Melissa Knight,No,Completed,Austin,Dell Parts,No,1
RP000103,DV82089,Server,Lenovo,ThinkPad,SN-KQcl-40148,Emily Ali,Nicole Marquez,2025-01-04,Software,Keyboard,Up federal nor note support.,Cleaning,Motherboard,1.65,200.74,Pass,Kimberly Reyes,Yes,Pending,Dallas,Kingston,No,4
RP000104,DV82305,Laptop,Dell,EliteBook,SN-gBoe-21850,Randy Friedman,Raymond Johnson,2026-03-03,Power,WiFi Card,Situation late direction need.,Cleaning,Power Supply,7.81,667.5,Pass,Cody Willis,Yes,Pending,Dallas,Western Digital,No,5
RP000105,DV55156,Desktop,Hp,MacBook Pro,SN-Tefr-61943,Michael Walters,Emily Rodriguez,2026-03-04,Display,Motherboard,Wall know seven.,Component Repair,SSD Drive,5.42,278.09,Pass,Brandon Jordan,No,Cancelled,Houston,Kingston,No,1
RP000106,DV42847,Server,Hp,ZenBook,SN-bfwJ-88861,Kyle Nguyen,Edgar Hughes,2025-12-24,Network,Cooling Fan,Right nice yeah.,Cleaning,SSD Drive,5.27,176.48,Pass,Joseph Jennings,Yes,Cancelled,Austin,Seagate,Yes,1
RP000107,DV20646,Server,Asus,ThinkPad,SN-Fjek-22444,Jason Washington,David Wright,2026-05-28,Display,Operating System,Many pattern leader career according how success.,Cleaning,RAM Module,5.23,520.37,Fail,Scott Alexander,No,Pending,Houston,Dell Parts,No,3
RP000108,DV69446,Laptop,Hp,MacBook Pro,SN-MSmE-69245,Vincent Novak,Michael Henry,2026-04-30,Power,WiFi Card,Site for exactly skill half usually.,OS Reinstallation,Motherboard,3.73,157.75,Fail,Zachary White,No,Pending,Houston,Kingston,Yes,3
RP000109,DV41685,Laptop,Lenovo,MacBook Pro,SN-ZsSe-80737,Rebecca Ortiz,Mr. David Hopkins DDS,2025-03-23,Software,SSD,Available wrong look husband media.,Replace Component,RAM Module,3.26,338.11,Fail,Melissa Stephens,Yes,Completed,Austin,Seagate,No,2
RP000110,DV30885,Workstation,Apple,EliteBook,SN-XpQQ-58911,Matthew Williams,Miss Jennifer Goodwin,2025-02-18,Power,Motherboard,Black better develop section newspaper.,Replace Component,Power Supply,5.3,775.01,Pass,Connie Brooks,No,Completed,Dallas,Kingston,No,5
RP000111,DV95755,Workstation,Lenovo,Aspire,SN-bEgs-79825,Vernon Wilson,Brenda Collins,2024-08-24,Hardware,RAM,Six miss give best reveal.,OS Reinstallation,Battery,8.88,595.63,Fail,Austin Williams,No,Completed,Phoenix,Samsung,Yes,3
RP000112,DV82512,Laptop,Apple,Aspire,SN-VpHl-10512,Erin Simmons,Robert Soto,2025-09-21,Power,Power Supply,Policy it ahead pass.,BIOS Update,SSD Drive,1.72,122.51,Fail,Kevin Price,No,Cancelled,Austin,Intel,Yes,5
RP000113,DV76731,Laptop,Dell,Latitude,SN-gZIl-33419,Craig Wilson,Katherine Church,2025-05-28,Software,Keyboard,Others particularly only girl suddenly.,Component Repair,WiFi Card,5.43,161.71,Pass,Robin Mccarthy,No,Cancelled,Austin,Intel,No,5
RP000114,DV49221,Server,Acer,Aspire,SN-uhpt-49912,James Thomas,Kyle Andrews,2024-11-13,Display,WiFi Card,Control player really population yourself.,Firmware Update,Keyboard,5.01,62.48,Fail,Katherine Taylor,Yes,Pending,Austin,Dell Parts,Yes,5
RP000115,DV72205,Desktop,Asus,Latitude,SN-aFim-57905,Tracey Wagner,Michael Perry PhD,2025-10-15,Display,WiFi Card,Cold not somebody determine allow different.,Software Installation,Power Supply,1.9,560.55,Pass,Richard Cunningham,Yes,Completed,Dallas,Western Digital,No,4
RP000116,DV29848,Desktop,Apple,Aspire,SN-hrXI-78819,Holly Carson,Nathan Payne,2025-05-17,Display,WiFi Card,Bill stop seem fear yourself.,Component Repair,RAM Module,7.2,439.01,Fail,Gregory Montoya,No,Cancelled,Phoenix,Kingston,Yes,4
RP000117,DV79878,Server,Asus,ZenBook,SN-SwTN-71339,Carol Taylor,Daniel Brown,2025-07-28,Network,Cooling Fan,Mother others collection without fall.,OS Reinstallation,Motherboard,9.59,259.25,Fail,Tiffany Robertson,Yes,Pending,Austin,Dell Parts,Yes,4
RP000118,DV51555,Server,Acer,ZenBook,SN-PiSi-12604,Michael Poole,Megan Burns,2025-03-09,Network,Screen,Plan physical heart away some shoulder.,Replace Component,Power Supply,9.01,345.9,Fail,Paul Neal,Yes,Pending,Dallas,Kingston,Yes,3
RP000119,DV67983,Server,Asus,MacBook Pro,SN-aXUf-57759,Judy Beck,Arthur Ferguson,2024-09-10,Software,Battery,Why station manager follow.,Component Repair,Keyboard,9.36,572.13,Pass,Joshua Anderson,Yes,Cancelled,Houston,Intel,Yes,5
RP000120,DV39579,Desktop,Dell,Latitude,SN-OYDb-75001,Scott Alexander,Tyler Harris,2024-09-28,Power,Keyboard,Think few themselves.,Firmware Update,WiFi Card,1.46,628.07,Pass,Anna Ward,Yes,Pending,Phoenix,Western Digital,Yes,3
RP000121,DV52096,Laptop,Dell,ZenBook,SN-OtUS-15206,Jessica Davis,Daniel Miller,2025-09-24,Display,Battery,Difficult quite act receive stage write.,Cleaning,RAM Module,9.18,181.3,Pass,Carlos Jones,Yes,Pending,Phoenix,Intel,No,1
RP000122,DV11214,Laptop,Lenovo,EliteBook,SN-xtiy-61115,Nicole Anderson,Brenda Moreno MD,2025-09-11,Power,Power Supply,Key reveal physical character.,Cleaning,WiFi Card,8.95,150.65,Fail,Michael Heath,No,Completed,Dallas,Kingston,Yes,4
RP000123,DV94972,Desktop,Dell,ZenBook,SN-UywB-11219,Charles Hill,Juan Greene,2025-10-23,Network,Screen,Expect wait agree suggest then day.,Cleaning,Motherboard,2.17,692.11,Fail,Chelsea Myers,No,Cancelled,Austin,Samsung,No,1
RP000124,DV34219,Workstation,Lenovo,ThinkPad,SN-pFOM-03761,Stephen Smith,Eugene Hughes,2026-02-20,Hardware,Screen,Inside national common likely would authority.,OS Reinstallation,Motherboard,4.74,250.25,Fail,Alexis Lewis,No,Cancelled,Dallas,Kingston,No,2
RP000125,DV18142,Laptop,Apple,EliteBook,SN-XABS-06848,Martin Medina,Bradley Miller,2024-08-29,Software,Operating System,Window choice force only.,Firmware Update,Keyboard,7.06,529.03,Fail,Marie Day,No,Cancelled,Houston,Intel,Yes,4
RP000126,DV30078,Server,Apple,ZenBook,SN-fBhD-46303,Amy Wade,Casey Smith,2025-04-04,Display,WiFi Card,Reduce clearly well.,Component Repair,Motherboard,7.74,560.26,Pass,Rachel Le,No,Cancelled,Austin,Samsung,Yes,1
RP000127,DV81781,Desktop,Acer,Aspire,SN-XbvZ-25241,Joseph Baker,Lori Crawford,2025-02-11,Software,SSD,Growth matter note happy effort bill.,BIOS Update,WiFi Card,1.6,204.05,Fail,Miranda Perez,Yes,Cancelled,Phoenix,Samsung,No,2
RP000128,DV77272,Workstation,Acer,Latitude,SN-cExy-80003,Cassidy Horne,Robert Klein,2025-05-14,Display,WiFi Card,Different eat trouble floor step.,Firmware Update,Keyboard,7.37,346.96,Pass,Barbara Nunez,Yes,Cancelled,Dallas,Samsung,No,3
RP000129,DV18357,Laptop,Dell,MacBook Pro,SN-zeDs-02380,Emily Miller,Jacob Carter,2025-01-05,Hardware,Screen,Science drug happy will.,OS Reinstallation,Battery,7.81,624.37,Fail,Dr. Morgan Payne PhD,No,Pending,Phoenix,Western Digital,No,1
RP000130,DV99486,Desktop,Asus,EliteBook,SN-IwOS-20603,Tiffany Smith,Sarah Acosta,2024-09-04,Hardware,SSD,Day work information.,Cleaning,Power Supply,5.52,595.89,Pass,Valerie Thomas,Yes,Completed,Austin,Western Digital,No,5
RP000131,DV59712,Desktop,Apple,EliteBook,SN-ASxD-41038,Angela Davis,Robert Jones,2025-11-20,Software,Screen,Artist production candidate factor surface unit.,Software Installation,SSD Drive,0.81,545.15,Pass,Ronnie Nguyen,Yes,Completed,Dallas,Samsung,Yes,4
RP000132,DV88352,Laptop,Hp,ZenBook,SN-iXXL-74313,Brian Cole,Bryan Howard,2024-08-24,Hardware,Operating System,Later leg system bed.,OS Reinstallation,Motherboard,5.63,615.79,Pass,Elizabeth Bush,Yes,Cancelled,Austin,Intel,No,5
RP000133,DV88370,Server,Hp,EliteBook,SN-fTpw-90352,Anthony Evans,Carrie Crane,2024-08-24,Software,Power Supply,New nearly behind big soldier.,Software Installation,Power Supply,3.35,95.72,Pass,Antonio Norman,No,Cancelled,Phoenix,Samsung,No,4
RP000134,DV78742,Workstation,Apple,ThinkPad,SN-ROPf-32365,Deanna Hess,Austin Orr,2025-08-21,Network,Operating System,Speak begin suggest speak business.,Software Installation,WiFi Card,2.79,219.01,Pass,Amber Glass,No,Completed,Phoenix,Western Digital,Yes,4
RP000135,DV41831,Desktop,Lenovo,ZenBook,SN-RBlw-66706,Cody Ramirez,Amanda Harvey,2025-10-25,Hardware,WiFi Card,Positive material third look.,Component Repair,Cooling Fan,1.38,593.44,Pass,James Barnes,Yes,Pending,Phoenix,Dell Parts,Yes,1
RP000136,DV34662,Desktop,Apple,ThinkPad,SN-YTwE-83806,Kari Durham,Jasmine White,2024-11-19,Network,Screen,Others ahead specific exactly speak.,Replace Component,Motherboard,9.4,771.56,Pass,Hunter Silva,No,Completed,Houston,Western Digital,Yes,5
RP000137,DV52154,Workstation,Apple,Aspire,SN-rIYV-32133,Zachary Robinson,Rebecca Kelly,2025-09-27,Network,Screen,Compare or south recently.,BIOS Update,Cooling Fan,5.37,422.96,Pass,Alyssa Haynes,No,Pending,Houston,Kingston,No,4
RP000138,DV15992,Desktop,Asus,ThinkPad,SN-ZFIt-99293,Andrew Brown,Alicia Woods,2024-12-14,Hardware,Screen,Truth cut candidate response try.,Cleaning,Power Supply,3.3,197.14,Pass,Erica Johnson,No,Cancelled,Houston,Western Digital,No,3
RP000139,DV74044,Workstation,Apple,ThinkPad,SN-exTQ-92185,Brian Turner,Christopher Fry,2024-09-24,Network,SSD,Power company why really up skin.,Software Installation,WiFi Card,2.25,717.02,Pass,Kevin Thompson,Yes,Completed,Dallas,Samsung,No,2
RP000140,DV92667,Laptop,Asus,ThinkPad,SN-SKzX-44220,Amanda Guzman,Tracy Walker,2025-11-19,Hardware,Battery,Bit many former back get floor.,Cleaning,WiFi Card,4.05,513.38,Fail,Tracey Underwood,No,Completed,Dallas,Seagate,No,1
RP000141,DV12192,Server,Acer,EliteBook,SN-pSew-57043,Brian Smith,Nicholas Costa,2025-01-17,Hardware,Power Supply,Manage her national big look.,Component Repair,Power Supply,8.16,732.33,Pass,Marilyn Mcdaniel,Yes,Cancelled,Houston,Intel,Yes,5
RP000142,DV79003,Server,Lenovo,MacBook Pro,SN-buqg-27104,Christopher Bennett,Kimberly Villanueva,2025-10-28,Hardware,Keyboard,Full world throw.,OS Reinstallation,WiFi Card,5.87,792.67,Pass,Jessica Valdez,No,Cancelled,Dallas,Dell Parts,Yes,1
RP000143,DV63120,Workstation,Acer,MacBook Pro,SN-vnmA-96201,Miranda Blair,Douglas Young,2025-06-20,Hardware,Motherboard,Hotel near make.,Firmware Update,Battery,1.29,684.0,Fail,Aaron Miller,Yes,Cancelled,Dallas,Intel,Yes,5
RP000144,DV72324,Laptop,Dell,ZenBook,SN-nkOs-97310,Kara Wilson,Kaitlin Jacobson,2025-10-09,Network,Power Supply,Before name continue those.,Cleaning,RAM Module,2.2,687.82,Pass,Jeremy Baker,Yes,Cancelled,Houston,Dell Parts,No,1
RP000145,DV49226,Desktop,Acer,MacBook Pro,SN-djWS-74349,Angelica Cooper,Tracy Lawrence,2026-01-28,Display,Keyboard,Article hit mission whole reach view.,OS Reinstallation,Battery,8.01,566.98,Pass,Cynthia Evans,No,Completed,Dallas,Western Digital,Yes,1
RP000146,DV54642,Workstation,Lenovo,Latitude,SN-ZKRN-60898,Travis Cole,Carol Lewis,2024-11-01,Network,WiFi Card,Call interest write itself.,OS Reinstallation,Motherboard,3.88,755.86,Fail,Lori Flowers MD,Yes,Cancelled,Phoenix,Samsung,No,2
RP000147,DV19634,Server,Hp,MacBook Pro,SN-JurH-11686,Shane Buchanan,Kelly Barnes,2026-04-20,Software,Operating System,Change note old who beyond.,BIOS Update,Cooling Fan,1.51,53.9,Fail,Richard Floyd,No,Pending,Austin,Samsung,Yes,1
RP000148,DV34561,Workstation,Acer,Aspire,SN-PFKM-85646,Christopher Powell,Melanie Morales,2025-04-28,Display,Operating System,Threat former down second TV.,Replace Component,RAM Module,1.35,465.66,Fail,Alicia Roth,No,Completed,Austin,Western Digital,No,1
RP000149,DV83339,Desktop,Asus,MacBook Pro,SN-oitV-44471,Roger Adams,Matthew Lopez,2025-11-07,Software,SSD,Tree imagine machine might.,BIOS Update,Keyboard,3.05,159.45,Pass,Anthony Moody,No,Pending,Phoenix,Kingston,No,1
RP000150,DV57333,Desktop,Asus,ZenBook,SN-XHKb-14862,Shaun Gonzalez,Andrew Williams,2025-10-29,Power,Cooling Fan,Relate ever statement measure play.,Cleaning,Motherboard,4.85,151.62,Pass,Andre Watson,No,Pending,Phoenix,Kingston,No,3
RP000151,DV66441,Desktop,Lenovo,EliteBook,SN-Jwwk-97279,Deanna Rivas,Alexander Williams,2024-09-15,Display,Battery,Sister Democrat determine different deal prepare.,OS Reinstallation,Cooling Fan,2.19,348.68,Fail,Sharon Coffey,No,Cancelled,Phoenix,Seagate,Yes,3
RP000152,DV59290,Workstation,Lenovo,Latitude,SN-Zaoq-07229,Terri Marquez,Desiree Woodard,2025-09-29,Display,Battery,Learn design few minute perhaps.,Cleaning,Battery,6.98,462.57,Fail,Adrienne Key,Yes,Pending,Austin,Dell Parts,Yes,4
RP000153,DV98208,Desktop,Asus,EliteBook,SN-tRgE-58994,William Davidson,Debbie Dawson,2025-02-17,Software,Screen,Could military drive arm.,Firmware Update,Battery,7.29,641.81,Pass,Rhonda Powell,No,Cancelled,Phoenix,Seagate,No,5
RP000154,DV76402,Workstation,Acer,Latitude,SN-qAzy-52074,Lauren Cooley,Grace Reeves,2024-08-04,Network,Power Supply,Point little wait grow feel color.,Cleaning,SSD Drive,1.54,236.17,Fail,Kristin Carter,Yes,Cancelled,Dallas,Seagate,No,3
RP000155,DV66420,Laptop,Dell,EliteBook,SN-RvPf-72482,Daniel Savage,Stephen Watson,2026-03-27,Software,Power Supply,Family surface like term on want.,Firmware Update,Motherboard,4.73,343.35,Pass,Steve Mason,No,Completed,Phoenix,Samsung,No,4
RP000156,DV21253,Desktop,Lenovo,EliteBook,SN-jimv-68460,Keith Knox,Eugene Baldwin,2026-03-17,Network,WiFi Card,Maintain piece computer.,Component Repair,Motherboard,5.45,311.23,Pass,Abigail Hill,No,Cancelled,Phoenix,Kingston,Yes,3
RP000157,DV15856,Laptop,Dell,EliteBook,SN-iNBO-29271,Jeffrey Woods,Joseph Cross,2024-07-16,Hardware,SSD,Throughout series most.,Firmware Update,Motherboard,5.4,463.93,Fail,Aaron Gross,No,Pending,Houston,Western Digital,Yes,2
RP000158,DV93948,Workstation,Apple,Latitude,SN-yGLt-35421,Rodney Evans,Nicholas Carlson,2024-09-08,Display,Battery,Its rather card you majority.,OS Reinstallation,Power Supply,4.19,578.55,Pass,Carmen Meadows,No,Cancelled,Dallas,Seagate,Yes,5
RP000159,DV34505,Server,Hp,MacBook Pro,SN-nUbL-60332,Barbara Dawson,Jaime Bowman,2025-07-04,Hardware,Screen,Perhaps order answer blue structure answer.,Firmware Update,WiFi Card,5.51,529.33,Fail,Jeremy Martinez,No,Cancelled,Dallas,Kingston,No,4
RP000160,DV90918,Server,Acer,Aspire,SN-tAQg-47230,Debra Obrien,Ronald Garcia,2026-01-18,Hardware,SSD,Brother box blood cup current enjoy.,BIOS Update,SSD Drive,2.77,137.71,Fail,Christina Warner,Yes,Cancelled,Phoenix,Western Digital,Yes,5
RP000161,DV60293,Desktop,Apple,ZenBook,SN-nSEv-42087,Adam Davis,Kenneth Snyder,2025-05-06,Display,SSD,Single avoid rich.,Cleaning,Battery,5.15,155.22,Fail,Maria Bryant,No,Cancelled,Dallas,Kingston,Yes,4
RP000162,DV27895,Workstation,Acer,Aspire,SN-lcsx-44701,Emily Rodgers,Peter Williams,2025-12-26,Power,Operating System,Professional color group.,Firmware Update,WiFi Card,4.45,679.92,Fail,Marco Johns,Yes,Completed,Dallas,Intel,No,1
RP000163,DV46025,Server,Hp,MacBook Pro,SN-zzDr-15521,Melissa Mendoza,Stephen Jackson,2025-11-25,Display,WiFi Card,Receive around wall.,Cleaning,SSD Drive,5.94,250.92,Fail,Jason Garza,Yes,Cancelled,Phoenix,Seagate,Yes,4
RP000164,DV23423,Desktop,Lenovo,Latitude,SN-XwNb-97296,Sheryl Acosta,Karen Freeman,2024-09-12,Power,Screen,Key as pressure actually than.,BIOS Update,SSD Drive,4.67,795.47,Pass,Natasha Cummings,Yes,Cancelled,Austin,Dell Parts,No,2
RP000165,DV90760,Desktop,Hp,Latitude,SN-gBQU-35889,Gregory Rhodes,Ryan Grant,2026-02-21,Display,Keyboard,Approach poor church support system thank.,Cleaning,Keyboard,6.17,176.28,Fail,John Allen,No,Cancelled,Austin,Seagate,Yes,2
RP000166,DV63948,Server,Asus,ThinkPad,SN-Pyzp-40838,Jeremy Berry,Jonathan Stewart,2026-05-14,Software,Battery,Seat adult idea along near stay.,Software Installation,Cooling Fan,8.37,621.11,Fail,Tracey Walsh,No,Completed,Austin,Dell Parts,No,4
RP000167,DV69243,Laptop,Apple,Aspire,SN-xdoD-88375,Randall Greene,Heidi Chavez,2026-04-27,Network,Keyboard,Service develop game.,OS Reinstallation,WiFi Card,3.61,51.85,Pass,Tracey Carter,No,Cancelled,Austin,Samsung,No,2
RP000168,DV66314,Workstation,Lenovo,EliteBook,SN-FiTV-85102,Ashley Carr,Timothy Long,2025-12-09,Network,Keyboard,Station course full serious another.,Cleaning,Battery,5.88,414.0,Fail,Megan Martinez,Yes,Completed,Dallas,Dell Parts,No,1
RP000169,DV26284,Workstation,Apple,Latitude,SN-FaHV-77982,Timothy Roberson,Mr. Thomas Thompson,2026-02-02,Power,Battery,Community spring billion price paper focus.,Firmware Update,Battery,8.88,276.4,Fail,Jennifer Lynch,Yes,Cancelled,Austin,Kingston,Yes,3
RP000170,DV97098,Desktop,Dell,MacBook Pro,SN-CZii-34654,Michael Goodman,Michael Valencia,2024-09-17,Network,Battery,Plan cut person fact generation public.,OS Reinstallation,SSD Drive,7.19,50.81,Fail,Miss Tina Gordon,Yes,Completed,Houston,Seagate,No,1
RP000171,DV11056,Server,Dell,MacBook Pro,SN-LKQT-51587,Paul Skinner,Ryan Stokes,2024-07-31,Software,WiFi Card,Blood herself apply argue environment size.,Replace Component,Motherboard,4.14,598.07,Pass,Miss Brianna Brown,Yes,Pending,Austin,Kingston,Yes,4
RP000172,DV27451,Desktop,Dell,Aspire,SN-CgNR-43805,Sharon Newton,Cynthia Mueller,2024-09-25,Display,Motherboard,Realize another high indicate.,Cleaning,Battery,4.68,591.82,Pass,Melinda Church,No,Cancelled,Phoenix,Intel,Yes,1
RP000173,DV28351,Workstation,Lenovo,MacBook Pro,SN-XCoO-00439,Maria Fischer,Lindsey Parsons,2026-03-09,Network,SSD,Family concern radio cost.,Software Installation,Keyboard,6.62,236.13,Fail,Jose Bennett,Yes,Cancelled,Austin,Intel,Yes,4
RP000174,DV48737,Laptop,Hp,MacBook Pro,SN-kLqa-64842,Michael Moore,Frank Williams,2024-09-20,Power,RAM,Past product make of group six fish.,Software Installation,WiFi Card,6.56,103.26,Pass,Clinton Jones,No,Pending,Houston,Western Digital,No,3
RP000175,DV81612,Desktop,Apple,Latitude,SN-zfwo-82688,Mary Rivera,Travis Montgomery,2024-08-13,Hardware,Cooling Fan,You statement wonder across protect knowledge.,Replace Component,RAM Module,2.99,79.87,Pass,Lisa Oliver,No,Cancelled,Austin,Dell Parts,No,4
RP000176,DV62727,Desktop,Lenovo,Latitude,SN-qIUs-05616,Jose Townsend,Katie Tucker,2026-04-20,Network,RAM,Together court message way.,Cleaning,Motherboard,9.76,166.53,Fail,Tyler Medina,No,Cancelled,Dallas,Kingston,No,2
RP000177,DV17589,Laptop,Apple,Latitude,SN-gnIS-01336,Natalie Graham,Andrea Parks,2025-11-05,Power,Cooling Fan,Learn forward beautiful.,Cleaning,RAM Module,3.44,606.27,Pass,Robert Grant,Yes,Completed,Houston,Dell Parts,Yes,2
RP000178,DV75065,Server,Hp,EliteBook,SN-COzB-93466,James Wilson,Nathan Brown,2025-07-23,Software,Screen,Animal summer group me face rate.,Firmware Update,SSD Drive,7.83,72.02,Fail,Diane Mcintosh,No,Cancelled,Dallas,Kingston,Yes,4
RP000179,DV69663,Server,Dell,MacBook Pro,SN-IoiV-66072,Robert Gardner,Brianna Byrd,2025-02-05,Display,SSD,Whatever action themselves center among.,BIOS Update,Battery,2.92,127.18,Pass,Jennifer Kelley,Yes,Cancelled,Dallas,Samsung,Yes,2
RP000180,DV16026,Server,Apple,ThinkPad,SN-APGj-14353,Daniel Davenport,Christopher Marsh,2025-03-17,Software,Motherboard,Surface usually yes.,Cleaning,Power Supply,2.63,236.2,Fail,Joshua Roberts,No,Completed,Austin,Samsung,Yes,2
RP000181,DV39253,Laptop,Apple,Latitude,SN-Fvwi-14139,Cynthia Mitchell,Corey Tucker,2025-01-31,Power,Screen,Pattern figure once not hair.,Component Repair,Keyboard,3.61,464.82,Pass,Jeffrey Smith,No,Completed,Austin,Seagate,No,5
RP000182,DV41795,Server,Acer,MacBook Pro,SN-iRUv-33645,Julie Howard,Juan Thompson,2025-03-25,Software,Power Supply,Bank exactly step through cultural safe.,Component Repair,Motherboard,1.93,749.3,Pass,Monica Mcclain,Yes,Cancelled,Austin,Dell Parts,Yes,3
RP000183,DV10191,Workstation,Asus,ZenBook,SN-XLnc-80996,Kimberly Lutz,Reginald Diaz,2024-09-08,Network,RAM,Through operation tax card.,Software Installation,Motherboard,4.49,770.89,Pass,Ann Cox,No,Completed,Dallas,Intel,No,3
RP000184,DV70091,Laptop,Acer,ThinkPad,SN-iCkl-03928,Krystal Brennan,Nicholas Crosby,2026-04-18,Power,RAM,Despite maintain as.,Cleaning,RAM Module,4.63,773.16,Pass,Andrew Clark,No,Pending,Austin,Western Digital,No,3
RP000185,DV69343,Desktop,Dell,ThinkPad,SN-cPug-56770,Kelly Gallegos,Deborah Stephens,2025-10-08,Software,Cooling Fan,Heavy her onto together.,Replace Component,Battery,1.5,387.18,Fail,David Kaufman,No,Completed,Austin,Intel,No,3
RP000186,DV70731,Laptop,Dell,ThinkPad,SN-FYEM-38655,Stephen Gonzales,Jose Campbell,2025-10-15,Network,Cooling Fan,Cost gun response.,Replace Component,Motherboard,8.44,295.85,Pass,David Shepherd,Yes,Pending,Phoenix,Seagate,Yes,3
RP000187,DV44100,Laptop,Apple,MacBook Pro,SN-LkPA-17773,Andrew Berry,Mark Williams,2026-01-16,Display,Power Supply,Chair coach two might if wide.,Software Installation,SSD Drive,4.89,652.92,Pass,Sherry Luna,Yes,Completed,Dallas,Intel,Yes,2
RP000188,DV62505,Laptop,Acer,Aspire,SN-EEko-41379,Lindsay Norton,Catherine Keller,2025-06-27,Network,RAM,Cold rate two others.,Replace Component,SSD Drive,2.38,534.49,Pass,James Anderson,Yes,Pending,Dallas,Samsung,No,1
RP000189,DV32018,Workstation,Asus,MacBook Pro,SN-jMgl-03886,Lucas Williams,Kathy Wilson,2024-12-03,Power,Motherboard,Process top much ability visit question.,OS Reinstallation,Power Supply,2.14,211.04,Pass,Jason Golden,No,Pending,Phoenix,Intel,Yes,5
RP000190,DV91156,Desktop,Asus,EliteBook,SN-wLZV-86376,Sara Johnston,David Cannon,2024-10-20,Power,Operating System,Exist theory impact.,Cleaning,WiFi Card,1.08,259.83,Pass,Michael Clarke,No,Completed,Houston,Dell Parts,Yes,4
RP000191,DV57069,Workstation,Lenovo,Aspire,SN-yPnS-98180,Jennifer Rodriguez,Kevin Green,2025-03-09,Display,Keyboard,Interest hand every quite sense including.,OS Reinstallation,Keyboard,2.21,289.16,Pass,Karen Wood,Yes,Pending,Dallas,Western Digital,No,5
RP000192,DV40508,Laptop,Hp,ZenBook,SN-wXTz-87449,Sarah Hopkins,Jillian Lyons,2026-01-31,Software,Screen,Beyond meet skill song.,Cleaning,RAM Module,7.76,760.85,Fail,Melinda Williams,No,Completed,Houston,Intel,No,3
RP000193,DV87537,Server,Acer,Aspire,SN-MBfe-60127,Jacob Lynch,Tara Morales,2026-06-15,Software,Cooling Fan,Expert white arm similar compare manager.,Software Installation,WiFi Card,5.65,181.67,Pass,Samuel Galvan,Yes,Completed,Houston,Seagate,Yes,1
RP000194,DV79002,Laptop,Lenovo,Aspire,SN-GHSo-84309,Megan Ward,Vanessa Miller,2025-03-11,Software,SSD,Sister good house only.,BIOS Update,Battery,9.23,683.21,Fail,Nancy Jones,Yes,Completed,Houston,Seagate,Yes,1
RP000195,DV78982,Laptop,Lenovo,ZenBook,SN-wwro-18489,Cheyenne Spears,Debbie Russell,2025-07-05,Power,Cooling Fan,Next me future.,Replace Component,Cooling Fan,3.37,152.34,Pass,Jose Scott,No,Cancelled,Phoenix,Dell Parts,No,2
RP000196,DV83659,Server,Hp,ZenBook,SN-KEXp-89476,Tonya Ellis,Kevin Johnson,2024-08-02,Display,SSD,Election him small.,OS Reinstallation,Keyboard,7.47,270.89,Pass,Michael Mcbride,Yes,Cancelled,Phoenix,Seagate,Yes,2
RP000197,DV88956,Desktop,Asus,Aspire,SN-Sqps-65880,Michael Nicholson,Timothy Woods,2025-08-22,Hardware,WiFi Card,Despite off consumer second us.,Software Installation,Cooling Fan,7.58,228.5,Fail,Omar Young,Yes,Cancelled,Dallas,Dell Parts,No,4
RP000198,DV11493,Desktop,Hp,ZenBook,SN-pNwj-34333,Barbara Miller,Katherine Smith,2025-10-15,Hardware,Keyboard,When summer he firm together thing.,BIOS Update,SSD Drive,7.34,86.11,Fail,Denise White,No,Completed,Phoenix,Western Digital,No,3
RP000199,DV81568,Laptop,Apple,Aspire,SN-idHZ-84639,Todd Johnson,Scott Parsons,2025-06-24,Software,SSD,With recently least ready activity.,OS Reinstallation,SSD Drive,8.09,75.06,Pass,Kevin Nguyen,No,Pending,Dallas,Samsung,No,2
RP000200,DV59212,Laptop,Acer,Latitude,SN-prEN-94284,Clinton Coleman,Paul Diaz,2026-01-30,Network,Cooling Fan,Evidence conference capital office direction.,Cleaning,WiFi Card,7.19,373.49,Pass,Devin Young,No,Completed,Dallas,Samsung,No,2
RP000201,DV34901,Server,Asus,EliteBook,SN-EZal-66322,Chad Barry,Kimberly Stewart,2025-05-20,Network,Battery,Feel no nothing huge real art.,Replace Component,RAM Module,4.23,462.25,Fail,Karen Soto,Yes,Completed,Austin,Samsung,No,1
RP000202,DV48607,Workstation,Hp,Latitude,SN-JJZq-75455,Jason Bell,Lisa Ray,2024-09-04,Hardware,Battery,Company sister great pull maintain say.,Software Installation,Keyboard,9.78,405.18,Pass,Jane Mitchell,No,Pending,Phoenix,Western Digital,No,1
RP000203,DV94130,Workstation,Hp,EliteBook,SN-Kzef-22569,Darren Stewart,Derek Newman,2025-01-02,Power,Keyboard,Thought sit voice security.,Software Installation,WiFi Card,0.92,379.81,Fail,Joanna Jackson,Yes,Pending,Dallas,Intel,Yes,1
