Project_ID,Project_Name,Manager,Budget,Spent,Completion,Start_Date,End_Date,Status
Prj296,Automation Project 296,Megan Galloway,961617,406396,82,2024-09-08,2027-05-03,Running
Prj297,Automation Project 297,Jamie Hall,534445,376556,80,2025-05-06,2027-04-18,Completed
Prj298,Automation Project 298,Colleen Contreras,976583,74540,63,2024-11-23,2027-07-10,Planning
Prj299,Automation Project 299,Maureen Clark,347009,120001,68,2025-04-24,2027-04-18,Completed
Prj300,Automation Project 300,Donald Moreno,251426,107688,93,2026-01-23,2027-03-27,Running
Prj301,Automation Project 301,Anthony Jones,224829,168046,89,2024-11-06,2026-11-26,Completed
Prj302,Automation Project 302,Brenda Gomez,707410,78285,29,2026-04-05,2027-04-05,Planning
Prj303,Automation Project 303,Matthew Campbell,339074,297215,96,2025-03-21,2026-11-27,Completed
Prj304,Automation Project 304,James Flores,159364,54707,100,2025-09-07,2027-05-11,Running
Prj305,Automation Project 305,Marc Rodriguez,431725,192990,79,2024-08-24,2026-07-24,Completed
Prj306,Automation Project 306,Mark Mccarty,768742,519784,17,2025-05-15,2027-03-07,Completed
Prj307,Automation Project 307,Jamie Scott,679012,344196,69,2025-08-11,2026-12-19,Running
Prj308,Automation Project 308,Elizabeth Perkins,709143,388648,100,2025-06-17,2027-05-02,Running
Prj309,Automation Project 309,Phillip Guzman,174030,132197,66,2026-05-20,2026-07-29,Running
Prj310,Automation Project 310,Shawn Guzman,620512,379211,50,2025-01-01,2027-03-27,Planning
Prj311,Automation Project 311,Howard Hensley,722170,600325,19,2025-02-18,2026-11-25,Completed
Prj312,Automation Project 312,Allison Ferguson,667056,91724,67,2026-01-22,2026-07-29,Completed
Prj313,Automation Project 313,Christopher Martin,320338,292624,75,2025-06-28,2027-03-17,Planning
Prj314,Automation Project 314,Steven Taylor,469877,355757,18,2025-06-09,2026-08-21,Running
Prj315,Automation Project 315,Christine Walters,618114,110899,81,2025-07-03,2027-06-15,Completed
Prj316,Automation Project 316,Spencer Boyd,417194,243773,75,2025-08-20,2027-01-31,Completed
Prj317,Automation Project 317,Diana Lopez,899125,796803,90,2024-12-18,2026-12-12,Running
Prj318,Automation Project 318,Daniel White,275791,156164,80,2026-03-08,2026-09-09,Planning
Prj319,Automation Project 319,Erin Chan,630084,326377,80,2025-06-01,2026-12-22,Completed
Prj320,Automation Project 320,Andrew Martinez,564827,265495,36,2026-02-14,2027-04-07,Completed
Prj321,Automation Project 321,Jessica Heath,123964,70388,12,2025-12-02,2027-04-03,Completed
Prj322,Automation Project 322,Cynthia Castaneda,602253,467955,20,2025-12-12,2026-12-18,Planning
Prj323,Automation Project 323,Juan Farmer,349346,259268,97,2024-11-24,2026-10-01,Planning
Prj324,Automation Project 324,Jessica Gutierrez,289170,80019,90,2024-08-21,2026-09-03,Completed
Prj325,Automation Project 325,George Stephens,731900,79210,90,2025-06-29,2026-12-20,Running
Prj326,Automation Project 326,Michael Buck,874087,142500,80,2026-06-13,2026-11-20,Completed
Prj327,Automation Project 327,Katrina Moore,204614,90550,82,2026-04-22,2026-12-25,Completed
Prj328,Automation Project 328,Chris Townsend,927443,616252,76,2025-01-05,2026-10-06,Completed
Prj329,Automation Project 329,Samuel Castillo,505763,494247,93,2025-06-11,2026-12-26,Planning
Prj330,Automation Project 330,Courtney Hopkins,635553,190315,13,2026-03-06,2026-09-27,Completed
Prj331,Automation Project 331,Ronald Collins,967717,562181,10,2024-09-29,2026-12-28,Running
Prj332,Automation Project 332,Willie Fritz,506872,425006,86,2025-11-08,2027-02-06,Planning
Prj333,Automation Project 333,Jessica Juarez,224174,62340,68,2024-10-15,2027-04-07,Completed
Prj334,Automation Project 334,Brian Jones,238365,107526,71,2025-12-14,2027-06-22,Planning
Prj335,Automation Project 335,Joseph Johnson,718114,631788,28,2024-08-13,2026-12-02,Running
Prj336,Automation Project 336,Linda Johnson,680155,292187,38,2024-10-04,2026-11-13,Running
Prj337,Automation Project 337,Samuel Blair,840756,586221,94,2026-03-09,2027-02-11,Running
Prj338,Automation Project 338,Jamie Singleton,793478,368544,87,2025-01-20,2026-08-27,Running
Prj339,Automation Project 339,Paula Sanchez,148465,81799,50,2026-05-26,2026-10-15,Planning
Prj340,Automation Project 340,Pamela Strickland,541160,307336,51,2025-01-16,2027-01-15,Running
Prj341,Automation Project 341,Allison Clark,635856,483864,76,2026-02-13,2027-01-12,Completed
Prj342,Automation Project 342,Susan Brooks,336229,150143,53,2025-08-12,2027-04-07,Running
Prj343,Automation Project 343,Ashley Tapia,824059,517760,11,2024-10-16,2026-07-21,Running
Prj344,Automation Project 344,Elizabeth Gray,563742,173797,22,2025-09-15,2026-09-14,Planning
Prj345,Automation Project 345,Brandon Gross,980661,894514,94,2026-06-07,2027-06-24,Planning
Prj346,Automation Project 346,Ellen Cabrera,205014,134647,52,2024-10-08,2026-08-28,Running
Prj347,Automation Project 347,Brittany King,762831,94782,97,2025-11-06,2027-05-22,Running
Prj348,Automation Project 348,Corey Johnson,561350,404481,14,2025-05-08,2027-05-17,Running
Prj349,Automation Project 349,Emily Craig,233146,218744,21,2025-05-27,2026-09-12,Completed
Prj350,Automation Project 350,Sara Nolan,601681,283458,76,2025-08-17,2027-02-17,Running
Prj351,Automation Project 351,Heather James,845441,343765,43,2025-06-09,2027-06-23,Planning
Prj352,Automation Project 352,John Vance,426295,242751,75,2026-05-17,2026-11-07,Completed
Prj353,Automation Project 353,Stacey Gomez,319400,104877,19,2025-04-23,2027-03-26,Running
Prj354,Automation Project 354,Travis Brown,166994,90444,71,2025-05-14,2026-09-22,Planning
Prj355,Automation Project 355,Jeanne Garcia,783043,157377,29,2025-05-01,2026-10-15,Planning
Prj356,Automation Project 356,April Holmes,779662,388379,16,2026-01-04,2026-08-05,Planning
Prj357,Automation Project 357,Malik Keller,520055,330889,66,2025-12-26,2027-07-01,Planning
Prj358,Automation Project 358,Christine Lee,440052,379140,60,2025-05-02,2026-10-21,Completed
Prj359,Automation Project 359,Courtney Davis,730970,128273,14,2024-08-28,2026-12-15,Completed
Prj360,Automation Project 360,Julie Owen,769903,509182,67,2026-02-23,2027-07-13,Completed
Prj361,Automation Project 361,Steven Olson,568093,331923,16,2026-03-10,2026-08-03,Planning
Prj362,Automation Project 362,Peter Martin Phd,343396,208624,90,2024-11-06,2027-02-04,Running
Prj363,Automation Project 363,Sophia Jimenez,474509,273531,75,2025-01-08,2026-10-31,Running
Prj364,Automation Project 364,Brian Delgado,376199,266013,70,2026-02-19,2027-06-07,Completed
Prj365,Automation Project 365,Barbara Cardenas,949561,357698,13,2025-03-10,2027-05-11,Planning
Prj366,Automation Project 366,Sarah Montgomery,959206,859659,64,2024-07-26,2027-02-22,Completed
Prj367,Automation Project 367,Mr. Antonio Curtis,997816,498028,48,2026-04-02,2027-03-07,Planning
Prj368,Automation Project 368,Tammy Green,169618,106623,37,2024-12-28,2026-09-09,Planning
Prj369,Automation Project 369,Glenn Gould,742940,384808,71,2025-12-12,2027-05-15,Planning
Prj370,Automation Project 370,Louis Duran Jr.,895221,572829,74,2024-09-28,2027-03-31,Completed
Prj371,Automation Project 371,James Porter,318431,112403,55,2024-12-24,2027-03-04,Completed
Prj372,Automation Project 372,Stacey Phillips,622420,433832,67,2026-02-06,2026-09-05,Completed
Prj373,Automation Project 373,James Hall Iv,267947,207658,100,2025-11-01,2027-04-15,Completed
Prj374,Automation Project 374,Mark Rosales,254457,223682,66,2026-03-10,2027-04-07,Planning
Prj375,Automation Project 375,Christopher Donaldson,209534,183442,60,2024-08-13,2027-02-10,Completed
Prj376,Automation Project 376,Justin Craig,911622,829133,36,2024-12-29,2027-05-10,Completed
Prj377,Automation Project 377,Steven Barton,139579,67918,82,2026-03-19,2026-10-13,Planning
Prj378,Automation Project 378,Kristin Ashley,447526,343187,57,2025-10-14,2027-04-13,Completed
Prj379,Automation Project 379,Andrea Carter,794040,369081,92,2024-12-19,2026-09-15,Planning
Prj380,Automation Project 380,Brooke Buck,961557,287784,39,2024-12-28,2026-07-28,Planning
Prj381,Automation Project 381,David Burns,414662,97432,58,2025-12-21,2026-10-16,Completed
Prj382,Automation Project 382,Timothy Thompson,490959,86161,80,2025-03-11,2027-07-04,Running
Prj383,Automation Project 383,John Johnson,757277,316641,78,2025-06-10,2027-06-25,Planning
Prj384,Automation Project 384,Preston Ortiz,711401,503887,59,2025-07-02,2027-04-28,Planning
Prj385,Automation Project 385,Michaela Weaver,589227,267373,48,2025-08-31,2026-10-05,Running
Prj386,Automation Project 386,Michael Smith,933312,452968,70,2024-12-10,2027-01-01,Completed
Prj387,Automation Project 387,Gene Flynn,366975,253830,32,2025-08-29,2026-10-11,Completed
Prj388,Automation Project 388,Grace Barnes,228274,140538,90,2025-05-15,2027-01-13,Completed
Prj389,Automation Project 389,Joshua Richardson,474065,335616,46,2025-10-27,2027-04-08,Completed
Prj390,Automation Project 390,Robert Welch,186330,177678,44,2025-12-20,2027-06-22,Completed
Prj391,Automation Project 391,Manuel Manning,739379,170486,64,2026-01-22,2027-07-01,Planning
Prj392,Automation Project 392,Christopher Miles,563421,51540,53,2024-09-20,2027-01-20,Planning
Prj393,Automation Project 393,Derek Davis,269409,93407,19,2024-08-31,2027-04-08,Completed
Prj394,Automation Project 394,Nathan Watts,796678,148611,61,2026-05-03,2026-07-26,Completed
Prj395,Automation Project 395,Jennifer Anderson,678616,125293,92,2025-09-17,2026-12-17,Running
Prj396,Automation Project 396,Stephanie Moore,203685,109749,48,2026-05-06,2026-11-02,Running
Prj397,Automation Project 397,Dr. Brendan Huang,800077,552805,59,2024-11-27,2027-04-01,Completed
Prj398,Automation Project 398,Elizabeth Jones,161418,142436,85,2025-07-10,2027-06-18,Running
Prj399,Automation Project 399,David Pope,956999,639774,36,2024-11-19,2027-03-05,Completed
Prj400,Automation Project 400,Lisa Shaffer,610502,521595,46,2025-07-30,2027-02-09,Planning
Prj401,Automation Project 401,Amanda Richmond Dds,871693,184701,85,2025-01-28,2026-07-24,Completed
Prj402,Automation Project 402,Miss Sandra Smith,231465,190512,61,2026-04-22,2027-02-15,Running
Prj403,Automation Project 403,Steven Johnson,796713,717861,40,2025-05-28,2027-04-26,Planning
Prj404,Automation Project 404,Kathy Ryan,908085,80064,29,2025-06-09,2026-07-18,Running
Prj405,Automation Project 405,Emily King,994164,715232,54,2025-02-03,2026-09-26,Completed
Prj406,Automation Project 406,Erik Russell,131006,125384,92,2025-06-29,2026-07-23,Completed
Prj407,Automation Project 407,Robert Jackson,503146,420713,33,2026-05-12,2027-01-24,Planning
Prj408,Automation Project 408,Sean Watts,684927,247769,63,2024-08-28,2026-11-24,Running
Prj409,Automation Project 409,Meredith Bradford,574396,532009,25,2025-12-15,2027-03-31,Completed
Prj410,Automation Project 410,Cristina Scott,882504,445893,63,2026-02-26,2026-09-06,Running
Prj411,Automation Project 411,Joseph Valdez,556662,549408,19,2025-04-29,2026-08-23,Planning
Prj412,Automation Project 412,Amber Henderson,246328,132168,60,2025-06-13,2026-10-29,Planning
Prj413,Automation Project 413,Amber Taylor,391383,141171,14,2025-04-27,2026-08-29,Planning
Prj414,Automation Project 414,Sarah Stein,931975,929007,26,2025-11-18,2026-08-28,Planning
Prj415,Automation Project 415,Christopher Dorsey,813083,782900,38,2025-06-27,2026-08-08,Running
Prj416,Automation Project 416,Nancy Stout,743530,666964,79,2024-10-19,2026-10-31,Planning
Prj417,Automation Project 417,Ashley Hansen,175885,167918,36,2025-02-16,2027-07-04,Completed
Prj418,Automation Project 418,James Smith,558980,271971,80,2024-08-30,2026-11-30,Planning
Prj419,Automation Project 419,Scott Graham,541425,305969,55,2024-07-17,2026-10-28,Completed
Prj420,Automation Project 420,Dawn Johnson,876333,66929,22,2026-04-21,2027-06-15,Running
Prj421,Automation Project 421,Jack Small,574312,125672,51,2026-01-26,2026-11-11,Planning
Prj422,Automation Project 422,Tonya Carlson,766542,369217,45,2025-02-20,2026-09-25,Running
Prj423,Automation Project 423,Brooke Norman,226141,121918,47,2025-05-01,2026-11-26,Planning
Prj424,Automation Project 424,James Harrell,746742,222180,37,2025-03-23,2026-10-09,Planning
Prj425,Automation Project 425,Mrs. Mckenzie Smith,914601,417485,18,2026-05-25,2027-05-19,Running
Prj426,Automation Project 426,Dana Choi,418814,257331,56,2025-05-13,2027-06-03,Running
Prj427,Automation Project 427,James Jordan,422090,123459,58,2025-05-15,2027-04-28,Planning
Prj428,Automation Project 428,Amy Lamb,215389,194070,59,2025-09-28,2027-04-02,Planning
Prj429,Automation Project 429,Amber Nguyen,613399,184470,58,2025-01-14,2026-08-06,Planning
Prj430,Automation Project 430,Jasmine Williams,169713,124397,84,2026-02-18,2027-02-09,Running
Prj431,Automation Project 431,Jennifer Johnson,870770,724072,58,2024-12-09,2026-10-28,Completed
Prj432,Automation Project 432,Bryan Hull,764488,401121,55,2026-02-19,2027-04-20,Completed
Prj433,Automation Project 433,Linda Davis,894750,215623,91,2025-04-16,2026-11-21,Planning
Prj434,Automation Project 434,Terry Sanchez,609573,509980,58,2025-04-05,2026-09-21,Running
Prj435,Automation Project 435,Christine Bradley,951331,147183,48,2025-08-28,2026-12-03,Completed
Prj436,Automation Project 436,Shawn Harrison,147166,53450,37,2025-07-08,2027-07-01,Completed
Prj437,Automation Project 437,Ashley Huff,439084,51300,32,2024-11-19,2026-08-19,Completed
Prj438,Automation Project 438,Nathan White,940519,400772,53,2025-08-25,2026-10-27,Planning
Prj439,Automation Project 439,Jennifer White,864000,807078,36,2024-11-11,2026-08-20,Running
Prj440,Automation Project 440,Alexander Mills,917351,352564,97,2025-03-13,2027-03-13,Running
Prj441,Automation Project 441,Laura Flores,676010,468728,71,2026-02-19,2027-02-25,Planning
Prj442,Automation Project 442,David Davenport Jr.,289339,189839,78,2024-07-29,2027-03-13,Planning
Prj443,Automation Project 443,Derek Blair,700480,50832,48,2024-09-13,2026-11-26,Running
Prj444,Automation Project 444,Jason Jones,891704,302916,39,2024-11-15,2026-08-27,Planning
Prj445,Automation Project 445,Samuel Ramirez,364965,239371,45,2025-06-21,2027-06-01,Running
Prj446,Automation Project 446,Courtney Stewart,866734,824831,99,2025-09-03,2027-06-29,Planning
Prj447,Automation Project 447,Yolanda Miller,491948,409995,71,2025-01-30,2027-07-05,Running
Prj448,Automation Project 448,Sabrina Lee,708446,257589,29,2024-08-21,2026-10-31,Running
Prj449,Automation Project 449,Rebecca Burnett,197302,80004,43,2026-02-17,2026-11-15,Completed
Prj450,Automation Project 450,Michael Rojas,919637,666940,68,2025-08-31,2027-06-24,Completed
Prj451,Automation Project 451,Mark Wong,642175,539220,85,2025-07-22,2026-12-01,Running
Prj452,Automation Project 452,Victor Mcdonald,324034,83306,27,2026-05-07,2026-10-15,Completed
Prj453,Automation Project 453,Dr. Kevin Rowe,108469,68973,11,2026-05-15,2027-04-01,Completed
Prj454,Automation Project 454,Austin Gonzalez,437883,199639,41,2024-12-26,2027-06-08,Running
Prj455,Automation Project 455,Kathleen Ibarra,619618,506598,64,2024-08-03,2026-08-30,Planning
Prj456,Automation Project 456,Alexander Powell,638792,253758,16,2025-12-04,2026-10-12,Completed
Prj457,Automation Project 457,Sierra Davidson,654000,442142,74,2025-10-09,2026-10-27,Planning
Prj458,Automation Project 458,Nathan Davis,162678,63094,99,2025-06-28,2027-01-02,Completed
Prj459,Automation Project 459,Matthew Smith,603760,305022,20,2025-04-04,2027-06-06,Running
Prj460,Automation Project 460,Sarah Morrow,316143,94201,51,2024-09-16,2027-07-11,Planning
Prj461,Automation Project 461,Glenn Drake,168076,82790,39,2024-07-22,2026-12-20,Running
Prj462,Automation Project 462,Jessica Armstrong,604764,482592,31,2026-04-15,2026-12-04,Completed
Prj463,Automation Project 463,Margaret Martinez,208931,53875,72,2025-11-25,2027-03-15,Completed
Prj464,Automation Project 464,Sheri Gaines,181386,169565,22,2026-03-08,2027-03-20,Planning
Prj465,Automation Project 465,Eric Rogers,745020,475081,90,2025-09-07,2026-11-05,Completed
Prj466,Automation Project 466,Brandy Blake,435631,271902,48,2026-04-06,2027-06-28,Planning
Prj467,Automation Project 467,Gary Lee,446731,288100,16,2025-11-18,2027-05-12,Running
Prj468,Automation Project 468,Mark Vazquez,773515,624531,93,2026-05-01,2026-08-05,Planning
Prj469,Automation Project 469,Sarah Lee,249723,162148,84,2025-02-20,2026-12-18,Completed
Prj470,Automation Project 470,Peter Barry,307536,114065,19,2025-06-19,2026-09-11,Running
Prj471,Automation Project 471,Richard Krueger,376066,143955,100,2026-05-26,2027-01-17,Completed
Prj472,Automation Project 472,Sarah Jones,305705,53207,61,2024-09-28,2027-05-09,Planning
Prj473,Automation Project 473,Christina Vega,155358,74207,34,2025-09-15,2027-06-22,Planning
Prj474,Automation Project 474,Mary Marshall,294006,181649,65,2025-03-04,2027-04-13,Running
Prj475,Automation Project 475,Justin Brown,778462,774967,52,2025-11-25,2027-06-20,Completed
Prj476,Automation Project 476,Melissa Reese,119783,92787,27,2024-07-30,2026-11-13,Planning
Prj477,Automation Project 477,Ronald Gomez,402311,100109,22,2024-11-22,2026-10-12,Running
Prj478,Automation Project 478,Tyler Gray,926551,210854,13,2026-05-30,2026-11-19,Running
Prj479,Automation Project 479,Nicholas Mata,528718,301867,14,2025-11-05,2027-02-20,Planning
Prj480,Automation Project 480,Steven Moore,430340,89524,42,2025-09-20,2027-04-10,Running
Prj481,Automation Project 481,David Wyatt,874410,667426,82,2025-05-01,2027-04-03,Planning
Prj482,Automation Project 482,Kristina Gonzalez,120020,62510,61,2025-03-16,2026-08-23,Running
Prj483,Automation Project 483,Mario Lee,361985,157901,76,2026-05-08,2026-12-09,Planning
Prj484,Automation Project 484,Cassandra Williams,234977,85568,27,2024-08-18,2026-10-22,Running
Prj485,Automation Project 485,Margaret Adams,139172,54129,50,2024-08-03,2026-07-26,Planning
Prj486,Automation Project 486,Joshua Ibarra,715625,186830,33,2025-12-28,2026-08-08,Completed
Prj487,Automation Project 487,Nicole Patel,284655,62370,57,2024-10-27,2026-10-02,Running
Prj488,Automation Project 488,Chad Hayes,246630,221708,13,2026-01-11,2027-04-13,Planning
Prj489,Automation Project 489,Jason Martinez,795473,693772,15,2024-12-20,2027-03-06,Planning
Prj490,Automation Project 490,Olivia Hendricks,219403,104456,42,2026-02-20,2027-02-10,Completed
Prj491,Automation Project 491,Courtney Gonzales,421647,159615,38,2025-03-20,2026-11-19,Completed
Prj492,Automation Project 492,Deanna Medina,205936,100447,39,2024-12-06,2027-07-10,Completed
Prj493,Automation Project 493,Valerie Gates,282776,145320,33,2024-12-24,2027-01-27,Completed
Prj494,Automation Project 494,Arthur Medina,497234,111207,37,2025-12-07,2026-10-28,Planning
Prj495,Automation Project 495,Eric Dorsey,355073,183254,52,2026-02-16,2027-05-29,Running
Prj496,Automation Project 496,Dustin Ferguson,812271,347070,52,2025-01-18,2026-09-28,Planning
Prj497,Automation Project 497,Sarah Hood,327098,209529,33,2026-03-08,2027-06-15,Completed
Prj498,Automation Project 498,Rachel Moore,519144,206448,48,2026-04-27,2026-08-11,Completed
Prj499,Automation Project 499,Rachel Reynolds,564223,274498,10,2026-04-14,2026-10-05,Planning
Prj500,Automation Project 500,Ryan Davis,376518,356000,75,2026-02-10,2026-10-21,Running
